address,district,area,bedrooms,garage,type,rent,total
Largo do Arouche,Santa Efigênia,80,1,0,Apartamento,2300,2969
Rua Ricardo Avenarius,Paraíso do Morumbi,24,1,0,Apartamento,900,1245
Rua Nova dos Portugueses,Chora Menino,100,3,2,Casa,2450,2771
Rua Itamonte,Vila Medeiros,48,2,1,Apartamento,1600,1955
Avenida Antônio Buono,Vila Guarani(zona Leste),35,1,0,Studio e kitnet,1110,1153
Avenida Rangel Pestana,Brás,32,1,0,Apartamento,1900,2249
Rua Cônego Vicente Miguel Marino,Barra Funda,33,1,0,Apartamento,2200,2624
Rua Salvador Gaeta,Vila Augusta,68,2,2,Casa,2426,2574
Rua Casa do Ator,Vila Olímpia,69,2,1,Apartamento,2910,3970
Av.nove de Julho,Bela Vista,25,1,0,Apartamento,2500,3008
Rua Joaquim Afonso de Souza,Vila Celeste,110,2,0,Casa,1300,1355
Rua Glória do Goitá 335 Apt 112,Jardim Independência,29,1,0,Studio e kitnet,1180,1411
Rua Martim Burchard,Brás,44,2,0,Apartamento,2250,2712
Rua Tuiuti,Tatuapé,61,2,1,Apartamento,1900,2882
Rua das Palmeiras,Vila Buarque,11,1,0,Studio e kitnet,1560,1904
Rua São Lourenço,Vila Vivaldi,64,2,1,Casa,2500,2715
Rua João Mafra,Vila Brasílio Machado,56,2,2,Apartamento,1900,2700
Rua Sebastião Mariano,Vila Carlos de Campos,60,2,1,Casa,1600,1668
Avenida Vila Ema,Vila Prudente,56,2,1,Apartamento,1890,2222
Rua Almaden,Vila Andrade,62,2,1,Apartamento,3300,4354
Avenida Rio Branco,Campos Elíseos,35,1,0,Apartamento,1300,1580
Rua Tanque Velho,Vila Nivi,45,1,0,Casa,500,551
Rua Itiúba,Vila Celeste,47,2,0,Casa,1589,1799
Rua Hanna Abduch,Vila Palmeiras,80,2,0,Casa,2150,2232
Avenida Guarulhos,Ponte Grande,45,2,1,Apartamento,1984,2416
Rua das Violetas,Vila Marina,52,2,1,Apartamento,1800,1879
Rua Sampaio Corrêa,Jardim Pereira Leite,46,2,0,Apartamento,900,1075
Avenida Sapopemba,Jardim Utinga,45,2,1,Apartamento,1300,1575
Avenida São João,República,31,1,0,Apartamento,1300,1350
Rua Elísio de Carvalho,Vila São Luís(zona Oeste),12,1,0,Apartamento,1122,1208
Rua Arruda Ferreira,Vila Guilherme,20,1,0,Apartamento,1100,1230
Rua Aurora,Santa Ifigênia,31,1,0,Studio e kitnet,1075,1393
Rua Torquato Tasso,Vila Prudente,60,2,0,Casa,1700,1773
Avenida Júlio Prestes,Vila Galvão,65,2,1,Apartamento,1500,2110
Rua Arnaldo Cintra,Vila Moreira,50,2,1,Apartamento,2500,2950
Rua Maranjaí,Vila Monumento,32,1,0,Casa,750,782
Rua Oscar Cintra Gordinho,Liberdade,25,1,0,Studio e kitnet,850,1102
Rua Manuel Leiroz,Vila Penteado,31,1,0,Apartamento,1500,1928
Rua Itapeti,Vila Alpina,42,1,1,Apartamento,1600,2066
Rua Helena Zerrener,Liberdade,23,1,0,Studio e kitnet,753,1162
Rua Antonieta,Picanço,60,2,1,Casa,1700,1857
Rua Natividade Saldanha,São Lucas,22,0,0,Studio e kitnet,900,1126
Rua Virginópolis,Sacomã,80,2,1,Casa,2426,2529
Avenida Joaquina Ramalho,Vila Guilherme,34,1,0,Studio e kitnet,1250,1416
Rua Coronel Mursa,Brás,19,1,0,Studio e kitnet,1700,2016
Rua da Glória,Liberdade,28,1,0,Studio e kitnet,2000,2327
Rua Sete Barras,Vila Moinho Velho,70,2,1,Apartamento,3218,3832
Rua Doutor Raul da Rocha Medeiros,Tatuapé,52,2,1,Apartamento,3800,4672
Rua Alencar Araripe,Sacomã,50,2,1,Apartamento,1712,2486
Rua Cônego Vicente Miguel Marino,Barra Funda,38,1,1,Apartamento,2400,2953
Rua Doutor Fleury Silveira,Vila Santa Maria,23,1,1,Casa,700,855
Rua Hermínio Lemos,Cambuci,15,1,0,Studio e kitnet,1150,1194
Rua Doutor Bento Teobaldo Ferraz,Várzea da Barra Funda,31,1,0,Apartamento,2100,2429
Avenida Doutor Bernardino Brito Fonseca de Carvalho,Vila Talarico,62,3,1,Apartamento,1700,2217
Rua do Tatuapé,Maranhão,32,1,0,Apartamento,1550,1795
Rua Monsenhor Francisco de Paula,Vila Aricanduva,46,2,0,Apartamento,1799,1928
Rua Doutor Artur Rudge Ramos,Vila Caminho do Mar,98,2,1,Casa,1700,1841
Rua Marquês Maricá,Sacomã,38,1,0,Studio e kitnet,1030,1053
Rua Nossa Senhora Acheropita,Vila Santa Clara,42,1,1,Casa,1600,1715
Rua Tanque Velho,Vila Nivi,42,2,0,Casa em condomínio,1500,1625
Avenida dos Ourives,Jardim São Savério,41,2,0,Apartamento,1300,1750
Rua Olímpio Portugal,Mooca,38,1,1,Apartamento,1550,1913
Avenida Monteiro Lobato,Macedo,28,1,1,Studio e kitnet,2100,2495
Rua Abrahão Calux,Vila Moinho Velho,59,2,1,Apartamento,2200,2861
Avenida Prestes Maia,Centro,37,1,0,Studio e kitnet,1100,1918
Rua Fonseca da Costa,Bosque da Saúde,209,3,2,Casa,6000,6674
Rua Afonso Morsch,Vila Constança,75,2,1,Casa em condomínio,4000,4067
Rua Bartholomeu do Canto,Vila Palmeiras,31,1,0,Apartamento,1700,2166
Rua Natividade Saldanha,São Lucas,19,0,0,Studio e kitnet,850,1052
Rua Antônio Gomes Ferreira,Parque Fongaro,32,2,0,Apartamento,1100,1492
Rua Jovina Maria de Jesus,Jardim das Acácias,209,4,2,Casa,6950,7722
Rua Capitao Avelino Carneiro,Penha de França,37,1,0,Apartamento,1490,2017
Rua Maria José Rangel,Vila São Paulo,65,2,1,Casa,2200,2293
Rua Doutor Ferreira Lopes,Vila Sofia,70,3,2,Apartamento,2100,3315
Rua Edmundo Luís de Nóbrega Teixeira,Campo Grande,114,4,2,Casa,3500,3998
Rua Oscar Freire,Cerqueira César,55,2,0,Apartamento,3950,5097
Rua Almirante Brasil,Mooca,50,2,1,Apartamento,1700,2424
Avenida Yervant Kissajikian,Vila Constança,59,3,1,Apartamento,2100,2573
Rua Professor José Miziara,Santa Teresinha,55,2,1,Apartamento,1900,2532
Avenida Diógenes Ribeiro de Lima,Alto da Lapa,70,2,1,Apartamento,2450,2955
Rua Iguaré,Tatuapé,54,2,1,Apartamento,1400,2069
Rua Diogo de Oliveira,Sítio do Morro,50,2,0,Apartamento,1590,1852
Rua Votupoca,Vila Ipojuca,90,4,2,Apartamento,4200,5668
Rua Doutor Bento Teobaldo Ferraz,Várzea da Barra Funda,30,1,0,Apartamento,2122,2453
Avenida Miguel Frias E Vasconcelos,Jaguaré,80,2,0,Apartamento,3200,4187
Avenida Santa Marina,Água Branca,78,2,2,Apartamento,4000,4712
Rua Erva Imperial,Vila Alpina,45,2,1,Apartamento,1404,1853
Rua Ponte Pensa,Parada Inglesa,37,2,0,Apartamento,1650,1949
Rua Speers,Vila Sao Pedro,15,1,0,Studio e kitnet,950,1487
Rua João Adolfo,Centro,26,1,0,Studio e kitnet,1750,2194
Rua Bento Freitas,República,29,1,0,Studio e kitnet,1300,1682
Rua Jesuíno Rabello,Vila Milton,60,2,1,Apartamento,1683,2159
Avenida Bartholomeu de Carlos,Jardim Flor da Montanha,38,1,1,Studio e kitnet,1554,2238
Rua Coronel Deraldo Jordão,Ipiranga,120,3,3,Casa,5500,5962
Rua Bela Cintra,Consolação,55,1,0,Apartamento,3899,4467
Avenida Benigno Carrera,Vila Campestre,35,1,0,Casa,874,961
Avenida Tiradentes,Luz,48,2,1,Apartamento,2860,3406
Rua do Chico Nunes,Vila Andrade,36,2,0,Apartamento,980,1138
Rua Frei Gaspar,Mooca,33,1,0,Apartamento,3100,3600
Rua Manuel Dias de Oliveira,Jardim Alvorada (zona Oeste),40,2,0,Apartamento,1101,1443
Rua Pedro de Melo Sousa,Vila Arcadia,39,1,0,Casa,938,1019
Rua Joaquim Oliveira Freitas,Vila Mangalot,51,2,1,Apartamento,920,1572
Avenida Senador José Ermírio de Moraes,Tremembé,62,2,1,Apartamento,2300,2952
Rua Domingos Lopes da Silva,Vila Suzana,35,1,1,Apartamento,959,1840
Avenida Ipiranga,República,29,1,0,Studio e kitnet,1725,2142
Rua Porto de Palos,Jardim Peri,41,2,0,Apartamento,1000,1408
Rua Fernando Dondon,Tatuapé,24,1,0,Studio e kitnet,1600,1964
Rua Tenente-coronel Soares Neiva,Vila Aricanduva,37,2,0,Apartamento,1500,1728
Rua Conselheiro Ramalho,Bela Vista,26,1,0,Studio e kitnet,1953,2338
Rua Tomé de Lara,Tucuruvi,41,2,0,Apartamento,1800,2019
Rua Conselheiro Lafaiette,Mooca,30,1,0,Apartamento,1635,2033
Rua Barão de Campinas,Campos Elíseos,12,1,0,Studio e kitnet,900,1125
Rua Maria Zélia,Piqueri,41,1,1,Casa,1550,1624
Rua Ribeiro Marcondes,Vila Prudente,32,1,0,Studio e kitnet,1350,1502
Avenida Ajarani,Cidade Patriarca,44,2,1,Apartamento,1800,2527
Rua Antônio de Macedo Soares,Campo Belo,50,1,1,Apartamento,3350,4029
Rua Martins Fontes,Centro,30,1,0,Apartamento,2600,3100
Avenida Rubens Fraga de Toledo Arruda,Engenheiro Goulart,46,2,0,Apartamento,1400,1758
Avenida Nossa Senhora do Sabará,Vila Sofia,69,2,1,Apartamento,2170,3053
Rua Raul Bispo dos Santos,Vila Pedra Branca,60,1,0,Casa,1100,1156
Alameda Barros,Santa Cecília,30,1,0,Studio e kitnet,2327,2767
Avenida Aparecida do Rio Negro,Jardim Peri,43,2,1,Apartamento,1732,2078
Rua Desembargador Aragão,Vila Mariana,40,1,1,Studio e kitnet,4900,5471
Rua Brigadeiro Tobias,Centro Histórico de São Paulo,32,1,0,Studio e kitnet,2000,2754
Rua Antônio Gomes Ferreira,Sacomã,32,2,0,Apartamento,1350,1652
Rua Iquiririm,Vila Indiana,28,1,0,Studio e kitnet,1426,1928
Rua Anhanguera,Barra Funda,69,2,2,Apartamento,5390,6182
Rua Manuel Leiroz,Vila Penteado,41,2,0,Apartamento,1500,1958
Praça Doutor Mário Margarido,Liberdade,30,1,0,Apartamento,1092,1474
Rua José Arzão,Vila Andrade,51,2,0,Apartamento,2480,3529
Avenida Padre Arlindo Vieira,Vila Vermelha,71,3,2,Apartamento,1900,2941
Rua Luís Filipe Alberti,Jardim Maringá,41,2,1,Apartamento,1400,1951
Rua Augusto Farina,Jardim Bonfiglioli,30,1,0,Studio e kitnet,1260,1338
Rua João José Pacheco,Jardim Vila Mariana,22,0,0,Studio e kitnet,2200,2808
Rua Coronel Mursa,Brás,20,1,1,Apartamento,2600,2886
Rua Pangaré,Vila Butantã,38,2,1,Apartamento,1995,2572
Rua Bartholomeu do Canto,Vila Palmeiras,34,2,0,Apartamento,1400,1754
Avenida do Cursino,Vila Gumercindo,72,3,2,Apartamento,4000,4154
Avenida Paes de Barros,Mooca,98,3,1,Apartamento,3000,3889
Avenida Engenheiro Thomaz Magalhães,Sítio da Figueira,55,2,1,Apartamento,1750,2168
Rua Bento Vieira,Ipiranga,55,2,1,Apartamento,2350,3310
Rua Oscar Freire,Pinheiros,19,1,0,Studio e kitnet,3400,3905
Rua Francisco Luiz de Souza Júnior,Água Branca,44,2,0,Apartamento,1750,2178
Rua Heitor Penteado,Sumarezinho,55,2,1,Apartamento,2300,3039
Rua Henrique Sertório,Tatuapé,24,1,0,Studio e kitnet,1900,2430
Largo do Arouche,República,30,1,0,Studio e kitnet,2390,3113
Rua Alfredo Pujol,Santana,26,1,0,Studio e kitnet,2500,2940
Rua Gravi,Vila da Saúde,35,1,0,Casa,1400,1424
Rua Guaraja,Vila Mazzei,70,2,1,Apartamento,1600,2131
Rua Padre Lebret,Jardim Leonor,87,1,2,Apartamento,4500,6010
Avenida João Dias,Santo Amaro,67,2,1,Apartamento,1900,2964
Rua Cristóvão Colombo,Jardim Vila Galvão,45,2,1,Apartamento,1443,1934
Rua Capitão Teófilo,Centro,94,3,1,Apartamento,2200,2926
Rua Avanhandava,Bela Vista,24,1,0,Studio e kitnet,2350,2892
Avenida Nove de Julho,Bela Vista,26,1,0,Studio e kitnet,1250,1629
Rua Catulo da Paixão Cearense,Vila da Saúde,75,3,2,Apartamento,3700,5068
Avenida Raimundo Pereira de Magalhães,Jardim Iris,45,2,0,Apartamento,3000,3621
Rua Jequitinhonha,Campestre,85,3,2,Apartamento,2047,2691
Rua Major Rubéns Florentino Vaz,Vila Pirajussara,14,1,0,Studio e kitnet,1750,1818
Avenida Sapopemba,Jardim Planalto,32,2,0,Apartamento,1800,2169
Avenida do Cursino,Vila Moraes,63,2,1,Apartamento,2400,2993
Avenida Carlos Ferreira Endres,Vila Endres,50,1,0,Apartamento,916,1000
Rua dos Democratas,Vila Monte Alegre,48,2,1,Apartamento,1900,2774
Rua Dom Estevão Pimentel,Chácara Belenzinho,56,3,1,Apartamento,2000,2937
Rua Álvaro de Carvalho,Centro,26,1,0,Studio e kitnet,2450,2995
Avenida dos Ourives,Jardim Sao Saverio,43,2,0,Apartamento,1300,1700
Avenida Piassanguaba,Planalto Paulista,27,1,0,Casa,1200,1343
Rua Tenente Coronel Soares Neiva,Vila Aricanduva,35,2,0,Apartamento,1481,1788
Rua Dom Paulo Pedrosa,Real Parque,80,1,1,Apartamento,3000,4206
Rua Gomes de Carvalho,Vila Olímpia,75,3,1,Apartamento,3200,4253
Rua Camargo Aranha,Pacaembu,350,4,2,Casa,10400,11660
Rua Álvaro de Carvalho,Centro,37,2,0,Apartamento,2500,3220
Rua 17 de Janeiro,Paraíso do Morumbi,24,1,0,Apartamento,1100,1442
Rua Helvétia,Campos Elíseos,45,1,1,Apartamento,3100,3862
Rua Gravataí,Consolação,24,1,0,Studio e kitnet,3000,3575
Rua Mourato Coelho,Pinheiros,34,1,1,Studio e kitnet,3231,4083
Rua Paim,Bela Vista,50,1,1,Apartamento,4000,4918
Rua Cásper Líbero,Paulicéia,65,3,1,Apartamento,1560,2361
Rua Armando Pinelli,Taboão,54,2,1,Apartamento,1100,1743
Rua José Bento,Cambuci,41,2,0,Apartamento,2090,2511
Rua Alves Guimarães,Pinheiros,33,1,0,Studio e kitnet,3417,4018
Rua Conde de São Joaquim,Bela Vista,35,1,1,Apartamento,1600,2490
Praça Alberto Lion,Cambuci,34,2,0,Apartamento,1443,1829
Rua Francisca Augusta da Rocha,Jardim Mariliza,42,2,0,Casa,1000,1126
Rua Danton Vampre,Jardim Maringá,150,3,1,Casa,1880,1960
Avenida Francisco Rodrigues,Vila Constança,64,2,1,Casa em condomínio,2200,2413
Rua Paulistânia,Sumarezinho,31,1,0,Studio e kitnet,2620,3191
Rua Marie Nader Calfat,Jardim Ampliação,38,1,1,Studio e kitnet,2400,3014
Praça Conde Pedro Leonelli,Vila Rosália,57,2,1,Apartamento,1750,2298
Rua Adele Zarzur,Jardim São José (zona Norte),50,1,0,Casa,850,887
Rua José Pereira Barreto,Jardim Clímax,45,1,1,Casa,1200,1251
Rua Santo Antônio,Bela Vista,29,1,0,Apartamento,1700,2199
Rua Santo Antônio,Bela Vista,37,2,0,Apartamento,2200,2814
Rua Rocha,Bela Vista,29,1,0,Studio e kitnet,1400,1721
Rua Itajaí,Mooca,76,3,1,Apartamento,4200,5319
Rua Araguaia,Vila Curuca,64,2,1,Apartamento,3600,4459
Rua Barbalha,Alto da Lapa,14,1,0,Studio e kitnet,700,811
Rua Eugênio de Medeiros,Pinheiros,34,1,1,Apartamento,4850,5677
Rodovia Raposo Tavares,Jardim Olympia,55,2,1,Apartamento,1800,2489
Rua das Palmeiras,Vila Buarque,12,1,0,Apartamento,2400,2855
Rua Pascoal Ranieri Mazzilli,Vila Mendes,67,2,1,Apartamento,2448,3169
Avenida Condessa Elizabeth de Robiano,Penha de França,62,3,1,Apartamento,2100,2731
Avenida Leonardo da Vinci,Vila Guarani (z Sul),50,2,1,Apartamento,1450,2416
Rua Bento Freitas,República,22,1,0,Studio e kitnet,2800,3329
Rua Desembargador Euclides da Silveira,Casa Verde,49,1,1,Apartamento,3500,4188
Rua Ribeiro do Vale,Brooklin Paulista,35,1,0,Studio e kitnet,3700,4384
Rua Palestina,Vila Mascote,130,3,1,Casa,4000,4311
Avenida João Pessoa,Jardim Utinga,62,2,1,Apartamento,1900,2406
Avenida Vereador José Diniz,Santo Amaro,25,1,0,Studio e kitnet,2600,3048
Rua José Mandotti,Vila Augusta,25,1,1,Studio e kitnet,1800,2418
Rua Joaquim Rodrigues Costa,Vila Maria Alta,25,2,0,Casa,1001,1043
Avenida Cásper Líbero,Centro,27,1,0,Studio e kitnet,2000,2577
Avenida Giovanni Gronchi,Vila Andrade,98,3,2,Apartamento,2442,4507
Rua Bispo Eugênio Demazemod 388 Apto 61,Vila Alpina,49,2,1,Apartamento,1050,1620
Rua Rego Freitas,República,20,1,0,Studio e kitnet,1640,2133
Rua Bela Cintra,Consolação,48,1,1,Apartamento,2600,3597
Rua Guaianases,Campos Elíseos,38,1,1,Apartamento,1500,1998
Rua Barão de Tatuí,Vila Buarque,21,1,0,Studio e kitnet,1000,1428
Rua Xavier Krauss,Vila Leopoldina,35,2,0,Apartamento,2550,3017
Rua Pamplona,Cerqueira César,49,1,1,Apartamento,3000,3967
Rua Professor Arnaldo João Semeraro,Jardim Santa Emilia,64,2,1,Apartamento,1550,2060
Rua Dona Elisa,Barra Funda,70,3,1,Apartamento,4800,5790
Rua Cônego Vicente Miguel Marino,Barra Funda,99,3,2,Apartamento,4500,5566
Rua Frei Caneca,Consolação,28,1,0,Studio e kitnet,1700,2366
Rua Gustavo da Silveira,Vila Santa Catarina,160,4,1,Casa,3000,3137
Rua Arnaldo Cintra,Vila Moreira,49,2,1,Apartamento,1995,2636
Rua Otto de Barros,Vila Santo Estéfano,58,2,2,Apartamento,2120,3223
Rua Santa Izabel,Vila Augusta,66,2,2,Apartamento,2600,3254
Rua São Miguel,Bela Vista,35,1,1,Apartamento,2500,3296
Rua Riskallah Jorge,Centro Histórico de São Paulo,28,0,0,Studio e kitnet,1207,1647
Rua Nanuque,Vila Leopoldina,115,3,2,Apartamento,4450,6177
Rua Olímpia de Almeida Prado,Barra Funda,33,1,1,Studio e kitnet,2550,3286
Rua do Lavapés,Cambuci,45,2,0,Apartamento,2500,3046
Rua São Venceslau,Vila Guarani (z Sul),53,2,1,Apartamento,1900,2774
Rua Doutor Cesário Mota Júnior,Vila Buarque,30,1,0,Studio e kitnet,1350,1830
Avenida Deputado Emílio Carlos,Limão,49,2,1,Apartamento,1900,2359
Rua Caio Prado,Consolação,24,1,0,Studio e kitnet,4300,4765
Avenida Joaquina Ramalho,Vila Guilherme,60,3,1,Apartamento,3000,3845
Rua Amandaú,Tucuruvi,35,2,0,Apartamento,2500,2976
Rua Conselheiro Lafaiette,Mooca,45,2,0,Apartamento,2400,2993
Rua Cardoso de Almeida,Perdizes,33,1,0,Apartamento,3000,4039
Rua Leandro Dupré,Vila Clementino,15,1,0,Studio e kitnet,1000,1038
Rua Leôncio da Costa Vieira,Jardim Piqueroby,41,2,0,Studio e kitnet,2900,3142
Avenida Mascote,Vila Mascote,86,2,2,Apartamento,4800,5935
Rua Bela Cintra,Consolação,51,1,1,Apartamento,4000,5189
Rua Gomes de Carvalho,Vila Olímpia,30,1,1,Studio e kitnet,3000,3751
Avenida Vereador José Diniz,Santo Amaro,47,1,1,Apartamento,2799,3526
Rua Batataes,Jardim Paulista,54,1,2,Apartamento,3466,6316
Rua Augusta,Cerqueira César,35,1,1,Apartamento,2800,3661
Rua Cardoso de Almeida,Perdizes,33,1,0,Studio e kitnet,3000,4116
Rua Doutor Plínio Barreto,Bela Vista,60,2,1,Apartamento,5500,6504
Rua Azevedo Soares,Vila Gomes Cardim,82,3,1,Apartamento,3000,4040
Rua Luís Correia de Melo,Vila Cruzeiro,58,2,1,Apartamento,3500,4479
R. Mal. Barbacena,Jardim Anália Franco,78,1,1,Apartamento,3950,5182
Rua Marília de Dirceu,Jardim Aeroporto,200,2,1,Casa,8000,8398
Rua Marie Nader Calfat 270,Jardim Ampliação,32,1,0,Studio e kitnet,2370,2962
Avenida Amador Bueno da Veiga,Penha de França,58,2,1,Apartamento,2500,3476
Rua da Consolação,Consolação,65,2,0,Apartamento,2100,2831
Rua Itamonte,Vila Medeiros,58,3,1,Apartamento,3800,4536
Rua Sena Madureira,Vila Clementino,68,3,1,Apartamento,5200,6684
Rua Cayowaá,Perdizes,83,3,2,Apartamento,3600,5242
Rua Engenheiro Isaac Garcêz,Rudge Ramos,184,3,2,Apartamento,3800,4626
Rua Cayowaá,Perdizes,68,3,1,Apartamento,3000,4182
Avenida Diógenes Ribeiro de Lima,Alto da Lapa,64,2,2,Apartamento,3000,4480
Rua Antônio Gomes Ferreira,Sacoma,33,2,0,Apartamento,1700,2095
Avenida Padres Olivetanos,Vila Esperança,73,3,1,Apartamento,2700,4093
Rua Gabriele D’annunzio,Campo Belo,35,1,1,Studio e kitnet,3800,4637
Rua Francisca Júlia,Santana,50,2,1,Apartamento,1900,2685
Rua Bruno Cavalcanti Feder,Quinta da Paineira,50,2,1,Apartamento,1700,2321
Rua Alves Guimarães,Pinheiros,25,1,0,Studio e kitnet,2500,2986
Rua Elza Guimarães,Vila Amália (zona Norte),48,2,0,Apartamento,1100,1542
Rua Franklin Magalhães,Vila Santa Catarina,15,1,0,Casa,750,846
Rua Delfina da Cunha,Jardim Hercilia,30,2,2,Casa,2430,2725
Rua Eugênia Sá Vitale,Vila Santa Luzia,53,2,1,Apartamento,2200,2968
Rua Doutor Gabriel de Resende Filho,Chora Menino,25,2,0,Apartamento,1400,1614
Rua Correia Dias,Paraíso,23,1,0,Studio e kitnet,4000,4061
Rua Vergueiro,Vila Firmiano Pinto,63,3,1,Apartamento,1500,2732
Rua Barata Ribeiro,Bela Vista,16,1,0,Studio e kitnet,3700,4459
Rua Doutor Teodoro Baima,República,20,1,0,Apartamento,2500,2912
Rua Salto,Paraíso,33,1,1,Studio e kitnet,1850,3340
Rua Nicolau Barreto,Vila Cordeiro,50,1,1,Apartamento,5400,6258
Rua Malie Brenner,Vila Dom Pedro Ii,32,1,0,Apartamento,1600,1871
Avenida Duque de Caxias,Campos Elíseos,36,1,1,Apartamento,2200,3232
Rua Vicente Ferreira Leite,Vila Siqueira (zona Norte),47,2,1,Apartamento,1650,2187
Rua Jaguarete,Casa Verde,54,2,1,Apartamento,4200,4954
Rua Batataes,Jardim Paulista,34,1,1,Studio e kitnet,4000,5288
Rua Fiandeiras,Vila Olímpia,42,1,1,Apartamento,2300,4056
Rua Conselheiro Brotero,Santa Cecília,30,1,1,Apartamento,3300,4132
Rua Santa Justina,Vila Olímpia,33,1,1,Studio e kitnet,3150,4658
Rua Kansas,Brooklin Paulista,84,2,2,Apartamento,7990,9832
Rua Halionore,Vila Prudente,90,2,2,Casa,2715,2830
Avenida Doutor Cardoso de Melo,Vila Olímpia,43,1,1,Studio e kitnet,3500,4774
Rua Barata Ribeiro,Bela Vista,20,1,0,Apartamento,4000,4754
Rua Oiti,Alto da Mooca,80,3,2,Apartamento,2250,3860
Rua Dr. Laerte Sertuba,Vila Suzana,67,3,1,Apartamento,1600,2364
Rua Carvalho de Freitas,Vila Andrade,50,2,1,Apartamento,2600,3410
Rua Girassol,Vila Madalena,25,1,0,Apartamento,2770,3508
Avenida dos Carinás,Indianópolis,26,1,0,Apartamento,3500,4235
Avenida Sapopemba,Jardim Planalto,35,1,0,Apartamento,1050,1261
Avenida Vila Ema,Vila Ema,32,1,0,Studio e kitnet,1300,1652
Rua Mundo Novo,Vila Anglo Brasileira,185,2,3,Casa,4579,4888
Rua Joaquim Afonso de Souza,Vila Celeste,49,1,1,Apartamento,1800,2303
Rua Barata Ribeiro,Bela Vista,18,1,0,Studio e kitnet,4000,4754
Rua Domingos Paiva,Brás,39,1,0,Apartamento,2330,2950
Alameda Iraé,Indianópolis,25,1,0,Studio e kitnet,3690,4373
Rua Uxi,Jardim Santa Maria,80,2,1,Casa,1700,1842
Rua Nossa Senhora de Fátima,Santa Paula,71,2,2,Apartamento,3800,4536
Rua Cinco de Outubro,Americanópolis,120,2,1,Casa,1846,1924
Rua Baía Grande,Vila Bela,40,1,1,Casa,1100,1177
Rua Antônio Píres,Vila Albertina,72,2,1,Apartamento,3082,3801
Rua São João da Bocaina,Chácara Mafalda,75,2,1,Casa,1800,2076
Rua João Biancalana,Paulicéia,62,3,1,Apartamento,1800,2319
Rua Vicente Pereira de Assunção,Vila Constança,65,3,1,Apartamento,1872,2621
Rua Itanhaém,Vila Prudente,50,2,1,Apartamento,2100,2915
Rua Gregório Souza,Vila Nova Savoia,44,2,1,Apartamento,1500,1723
Rua General Júlio Marcondes Salgado,Campos Elíseos,64,2,1,Apartamento,1800,2442
Rua Stela Marina,Brooklin,26,1,0,Studio e kitnet,4500,5074
Rua Capote Valente,Pinheiros,83,2,1,Apartamento,3200,4131
"Indianópolis, São Paulo - Sp, 04524-020, Brasil",Indianópolis,24,1,1,Apartamento,3200,4317
Rua Ministro Godói,Perdizes,110,3,0,Apartamento,5400,6480
Rua Xingu,Vila Valparaíso,60,3,1,Apartamento,1700,2291
Rua Galeno de Castro,Jurubatuba,34,1,0,Apartamento,1800,2144
Rua Joaquim Afonso de Souza,Casa Verde Alta,26,1,0,Apartamento,920,1022
Rua Hercília,Vila Matilde,69,2,2,Casa,2500,2731
Rua Leopoldo Silingardi,Jardim Las Vegas,43,2,1,Apartamento,1800,2387
